Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,UniqueID
5,5,5,6,6,6,5,6,5,4,d5dd4465-2244-4f6e-a986-0505189b46f5
6,6,5,5,5,5,4,3,3,3,038675df-646c-4ceb-a6c2-925d6e189942
5,5,5,5,7,5,6,6,7,5,f73e6d89-d527-432b-89f9-16cd9b4f3812
7,7,7,6,7,7,6,7,7,7,b2a7a364-20ac-4789-90ae-e6f81710ba6d
5,5,5,5,5,4,5,7,5,5,881787b9-8402-44d7-8672-814547fa3163
7,7,5,3,4,3,5,7,7,4,2c0abb53-77f4-4f1b-8a4b-4abef0d0d013
6,6,5,5,5,5,6,6,6,6,745acfd3-22d6-4564-82c3-d9a18849008d
4,4,3,5,5,5,5,5,4,4,2be39d1c-64e7-4e46-9d80-1efb29ea020f
4,5,5,5,5,4,5,5,5,4,21969948-bbc5-4e95-a5b1-9fae7d1982ea
4,6,6,6,6,6,6,6,6,6,0697460b-2203-4da2-acc1-560729e7aa38
6,6,5,5,5,4,5,5,5,5,bd588e06-bd11-4343-a929-6264fc7c1d61
7,7,3,5,5,5,3,4,4,4,92bbc7fd-009e-43ff-b3c2-d551b00903ef
7,7,4,7,6,6,5,6,5,4,98021e11-6fee-4870-a6be-f6ef352abe17
7,7,6,6,7,5,7,7,7,7,7470003d-d064-45c2-b42a-39a218ccb6ca
5,7,4,5,5,6,6,5,6,5,36c14d37-2cdd-4408-ba27-45dd084b20a8
7,7,7,7,7,7,7,7,7,7,cb0f0afe-8869-4333-b74c-0314e6cf2b0c
7,7,6,7,7,7,7,7,6,7,cedbe844-137b-446e-a888-787c02f5bc84
6,7,6,6,7,6,6,7,7,5,496b1f1e-352e-48fa-90f4-5a9e271a7beb
6,6,5,5,5,5,6,6,6,6,13d437d8-6f32-4daa-85c6-16548c8250e9
6,7,6,7,7,6,6,7,7,7,484b49a4-4c52-4b8e-be62-3f10566c37cf
6,6,6,6,6,6,6,6,6,6,e0cf1564-f938-47de-923e-cd6b6102e746
3,3,2,3,7,6,6,7,5,4,1d7346ba-27b0-4531-bb1d-b2f8980d3fa5
6,6,4,5,4,3,5,6,6,6,fc2b9771-a268-4190-bcc0-dd3ce5bc1e9a
7,7,5,6,7,5,5,5,5,4,3eff479b-d8c0-4247-881b-d292ce1cf165
5,7,5,6,6,6,6,7,6,6,a7cf3ca6-8f6f-4c8c-b6c5-b5b479c770ac
5,5,3,3,5,5,4,5,4,3,e379f473-310d-4d20-b599-6a6e9c196e5a
7,7,7,7,7,7,7,7,7,7,34ea2d10-3a4e-40ba-81e1-275a1d7b014b
7,7,6,6,7,7,6,7,6,7,c15a9160-b3a9-43cc-b80e-ebdcf667c8e7
6,5,5,6,5,6,6,6,6,6,fbb0a874-d2b2-4c16-9a29-e8c3ea8c7f78
3,5,3,6,6,5,5,5,4,5,2982f058-7faa-4aaa-8b0c-3fc1af99f830
6,6,3,5,6,3,4,5,6,5,0a2f1365-f448-423c-8ce7-1cec1af7ab4f
4,6,6,6,6,5,7,7,6,6,7596933b-6796-49a2-b1ef-c030d3706866
7,7,2,4,7,6,4,6,6,4,77db0e47-1fc8-4b4e-8435-670e595e0f58
6,6,3,4,4,5,5,6,6,6,072f3eef-e03b-4bfa-874a-0f03be290875
5,7,4,7,7,6,6,7,7,7,9cab78b1-3dc2-404c-8d6d-bdd6e625a9fe
2,3,2,5,5,3,4,5,5,3,986de7e0-a274-4d12-9494-732c9fa09050
5,7,5,7,5,5,6,7,7,7,fd9d064d-4628-48f5-a8b0-cfe3f08a316c
5,4,3,4,4,3,4,5,2,2,55ef27ef-aa95-4ee3-893d-427cd65db45c
3,5,3,3,5,4,6,6,6,6,e122afe7-5bc4-4cc0-b8c8-5d56f2684d87
5,5,5,5,4,4,2,4,3,3,9db1dc9c-f991-46d5-8f47-2ba352de0852
4,6,6,6,6,6,6,6,4,5,127b7c44-cf59-4275-b466-9981a565269e
3,3,3,5,6,5,6,6,6,6,49fd722c-a9cd-4b4e-8f07-8addf613c8aa
6,6,5,5,6,5,6,7,7,6,0fb763e0-5571-4b92-a6e1-440ce60b3bfc
7,7,6,6,6,7,7,6,6,7,6327e900-5d0b-4cb0-a859-4ccae523cd60
6,6,5,6,5,5,5,6,4,5,3d67f782-bb85-4d8e-8734-4cb3417a3506
